,user_id,timestamp,page_location,engagement_time_msec,quiz_part,engagement_time_sec,diff_time
30777,188,2023-02-19 05:03:51.061331,https://lookiero.it/user/quiz/fit,61194,fit,61.194,39.176138
30778,188,2023-02-19 05:04:30.237469,https://lookiero.it/user/quiz/highlight,34135,highlight,34.135,45.581857
30779,188,2023-02-19 05:05:15.819326,https://lookiero.it/user/quiz/body-shape,50538,body-shape,50.538,42.072313
30780,188,2023-02-19 05:05:57.891639,https://lookiero.it/user/quiz/eyes,37154,eyes,37.154,15.690321
30785,188,2023-02-19 05:06:13.581960,https://lookiero.it/user/quiz/hair,15661,hair,15.661,5.727401
30770,188,2023-02-19 05:06:19.309361,https://lookiero.it/user/quiz/sizes,10685,sizes,10.685,35.532891
30781,188,2023-02-19 05:06:54.842252,https://lookiero.it/user/quiz/measurements,30483,measurements,30.483,24.239978
30782,188,2023-02-19 05:07:19.082230,https://lookiero.it/user/quiz/focus,29234,focus,29.234,31.827423000000003
30788,188,2023-02-19 05:07:50.909653,https://lookiero.it/user/quiz/adventurous,26799,adventurous,26.799,26.112097000000002
30783,188,2023-02-19 05:08:17.021750,https://lookiero.it/user/quiz/styles,26086,styles,26.086,54.549659000000005
30789,188,2023-02-19 05:09:11.571409,https://lookiero.it/user/quiz/prices,59361,prices,59.361,15.429391
30790,188,2023-02-19 05:09:27.000800,https://lookiero.it/user/quiz/avoid,10564,avoid,10.564,31.535417000000002
30793,188,2023-02-19 05:09:58.536217,https://lookiero.it/user/quiz/footwear,5741,footwear,5.741,41.987297000000005
30784,188,2023-02-19 05:10:40.523514,https://lookiero.it/user/quiz/you,42096,you,42.096,6.897851
30796,188,2023-02-19 05:10:47.421365,https://lookiero.it/user/quiz/photos,2020,photos,2.02,10.789255
30798,188,2023-02-19 05:11:43.635812,https://lookiero.it/user/quiz/register,42864,register,42.864,42.864
30856,195,2023-02-19 06:25:47.408731,https://lookiero.it/user/quiz/work,,work,,18.447625000000002
30861,195,2023-02-19 06:26:05.856356,https://lookiero.it/user/quiz/fit,18444,fit,18.444,18.761331000000002
30857,195,2023-02-19 06:26:24.617687,https://lookiero.it/user/quiz/highlight,23768,highlight,23.768,63.581257
30858,195,2023-02-19 06:27:28.198944,https://lookiero.it/user/quiz/body-shape,58523,body-shape,58.523,34.66418
30874,195,2023-02-19 06:28:02.863124,https://lookiero.it/user/quiz/eyes,39633,eyes,39.633,9.850355
30859,195,2023-02-19 06:28:12.713479,https://lookiero.it/user/quiz/hair,4864,hair,4.864,15.058301
30860,195,2023-02-19 06:28:27.771780,https://lookiero.it/user/quiz/sizes,15048,sizes,15.048,51.992364
30871,195,2023-02-19 06:29:19.764144,https://lookiero.it/user/quiz/measurements,56938,measurements,56.938,18.527106
30872,195,2023-02-19 06:29:38.291250,https://lookiero.it/user/quiz/focus,13571,focus,13.571,25.240192
30875,195,2023-02-19 06:30:03.531442,https://lookiero.it/user/quiz/adventurous,25226,adventurous,25.226,140.478388
30873,195,2023-02-19 06:32:24.009830,https://lookiero.it/user/quiz/prices,119090,prices,119.09,540.287773
30882,195,2023-02-19 06:41:24.297603,https://lookiero.it/user/quiz/photos,21314,photos,21.314,12.409325
30866,195,2023-02-19 06:41:36.706928,https://lookiero.it/user/quiz/styles,2251,styles,2.251,47.725742000000004
30879,195,2023-02-19 06:42:24.432670,https://lookiero.it/user/quiz/avoid,4914,avoid,4.914,9.537284000000001
30883,195,2023-02-19 06:42:33.969954,https://lookiero.it/user/quiz/footwear,4466,footwear,4.466,48.80975
30869,195,2023-02-19 06:43:22.779704,https://lookiero.it/user/quiz/you,48795,you,48.795,2821.186353
30887,195,2023-02-19 07:54:59.934877,https://lookiero.it/user/quiz/register,61657,register,61.657,61.657
21684,210,2023-01-25 21:44:57.991045,https://lookiero.fr/user/quiz/register,4978,register,4.978,4.978
27915,217,2023-03-18 16:55:13.108117,https://lookiero.fr/user/quiz/register,22089,register,22.089,22.089
31129,237,2023-02-19 08:22:51.310318,https://lookiero.be/user/quiz/work,,work,,13.375462
31163,237,2023-02-19 08:23:04.685780,https://lookiero.be/user/quiz/fit,13372,fit,13.372,22.126968
31164,237,2023-02-19 08:23:26.812748,https://lookiero.be/user/quiz/highlight,26859,highlight,26.859,17.750383
31165,237,2023-02-19 08:23:44.563131,https://lookiero.be/user/quiz/body-shape,12974,body-shape,12.974,53.202743000000005
31138,237,2023-02-19 08:24:37.765874,https://lookiero.be/user/quiz/eyes,58086,eyes,58.086,9.919963000000001
31166,237,2023-02-19 08:24:47.685837,https://lookiero.be/user/quiz/hair,5049,hair,5.049,15.241990000000001
31191,237,2023-02-19 08:25:02.927827,https://lookiero.be/user/quiz/sizes,15222,sizes,15.222,54.71603
31167,237,2023-02-19 08:25:57.643857,https://lookiero.be/user/quiz/measurements,59571,measurements,59.571,16.80639
31178,237,2023-02-19 08:26:14.450247,https://lookiero.be/user/quiz/focus,11909,focus,11.909,14.395662000000002
31192,237,2023-02-19 08:26:28.845909,https://lookiero.be/user/quiz/adventurous,14393,adventurous,14.393,36.592401
31193,237,2023-02-19 08:27:05.438310,https://lookiero.be/user/quiz/styles,41361,styles,41.361,55.260719
31179,237,2023-02-19 08:28:00.699029,https://lookiero.be/user/quiz/prices,50532,prices,50.532,6.008242
31180,237,2023-02-19 08:28:06.707271,https://lookiero.be/user/quiz/avoid,5978,avoid,5.978,6.59905
31195,237,2023-02-19 08:28:13.306321,https://lookiero.be/user/quiz/footwear,11386,footwear,11.386,21.830059000000002
31169,237,2023-02-19 08:28:35.136380,https://lookiero.be/user/quiz/you,17005,you,17.005,29.293684000000002
31171,237,2023-02-19 08:29:04.430064,https://lookiero.be/user/quiz/photos,29262,photos,29.262,371.231876
31186,237,2023-02-19 08:36:16.496494,https://lookiero.be/user/quiz/register,51305,register,51.305,51.305
5772,295,2023-04-10 17:13:39.346121,https://lookiero.be/user/quiz/leisure,24569,leisure,24.569,15.122158
5752,295,2023-04-10 17:13:54.468279,https://lookiero.be/user/quiz/work,15117,work,15.117,11.665555000000001
5784,295,2023-04-10 17:14:06.133834,https://lookiero.be/user/quiz/fit,11674,fit,11.674,10.247856
5785,295,2023-04-10 17:14:16.381690,https://lookiero.be/user/quiz/highlight,15251,highlight,15.251,26.625442000000003
5786,295,2023-04-10 17:14:43.007132,https://lookiero.be/user/quiz/body-shape,21618,body-shape,21.618,16.878809
5849,295,2023-04-10 17:14:59.885941,https://lookiero.be/user/quiz/eyes,16876,eyes,16.876,13.820891000000001
5850,295,2023-04-10 17:15:13.706832,https://lookiero.be/user/quiz/hair,13818,hair,13.818,2.792781
5768,295,2023-04-10 17:15:16.499613,https://lookiero.be/user/quiz/sizes,7798,sizes,7.798,20.752177
5775,295,2023-04-10 17:15:37.251790,https://lookiero.be/user/quiz/measurements,15746,measurements,15.746,8.631193
5851,295,2023-04-10 17:15:45.882983,https://lookiero.be/user/quiz/focus,8628,focus,8.628,7.474797000000001
5852,295,2023-04-10 17:15:53.357780,https://lookiero.be/user/quiz/adventurous,7449,adventurous,7.449,16.786871
5753,295,2023-04-10 17:16:10.144651,https://lookiero.be/user/quiz/styles,16815,styles,16.815,26.734024
5754,295,2023-04-10 17:16:36.878675,https://lookiero.be/user/quiz/prices,31735,prices,31.735,13.906797000000001
5853,295,2023-04-10 17:16:50.785472,https://lookiero.be/user/quiz/avoid,8898,avoid,8.898,11.678215000000002
5787,295,2023-04-10 17:17:02.463687,https://lookiero.be/user/quiz/footwear,11679,footwear,11.679,26.541491
